number,title,abstract,applicant,publicNumber,publicDate,applicationNumber,applicationDate,IPCmain,IPC
1083,Bullet-Cavitator For Underwater Firearm,"Field :  Manufacturing Technology.
    Substance :  Invention Relates To The Field Of Design Of Devices For The Generation Of Cavitation Phenomena For Their Subsequent Use In Special Operations Of Power Structures (Neutralization Of Combat Swimmers,  Scouts And Saboteurs) And In Sport Hunting. Bullet-Cavitator For Underwater Firearms Contains Sleeve (1) With Primer-Igniter (2),  Propellant Powder Charge (3) And Buried Wad-Piston (4) Dividing The Internal Volume Of Sleeve (1) Into Gas (5) And Projectile/Hydraulic (6) Cavity. Bullet-Cavitator Is Made Blank,  With Open Mouth (7) Of Sleeve (1),  With The Possibility Of Free Filling Of The Projectile/Hydraulic Cavity (6) With Water When The Weapons Equipped Therewith Are Submerged In The Aquatic Environment,  As Well As The Possibility Of Creating,  At Primer-Igniter (2) Operation,  High-Speed Jet (11) Of Gas-Containing Water In The Surrounding Aquatic Environment And A Cavitation Effect According To The Bernoulli Principle,  Accompanied By Hydroacoustic Noise (Gas Vapor Bubble Collapse 12).
    Effect :  Technical Result Consists In Increasing The Tactical-Technical (Technical-Operational) And Economic Characteristics Of The Bullet For Underwater Firearms,  Including The Increase In The Power Density (The Sound Power At Cavitation).
    6 Cl,  6 Dwg",Semenov Aleksandr Georgievich,RU2672072C1,2018/11/9 0:00,RU2018100987,2018/1/10 0:00,F42B5/02,F42B5/02; F41B9/00
1085,Detachable Connection With Countersunk Head,"Field :  Rocket Equipment.
    Substance :  Invention Relates To Rocket Engineering And Can Be Used In Designs Of Separation Systems Of Aircraft Objects. Device Consists Of Housing,  Bottom With Groove,  Locking Ring,  Bearings,  O-Rings And Pyro-Bolt. Pyro-Bolt Includes A Piston With A Tear-Off Threaded Part And Is Made With A Weakened Link Formed By An Annular Groove Along The External Surface Of The Piston. Detachable Thread Part Starts From The Annular Groove. At That,  Pyro Bolst Has Stop For Fixation Of Detachable Element Along Detachable Thread Part At Distance From Carrier Housing. Piston Is Movable Inside The Anvil. Thrust And Piston Can Be Pulled Into Carrier-Housing Of Aircraft And Fixed Therein After Separation Of Detachable Element.
    Effect :  Simplification Of The Device And Improvement Of Its Operation Reliability,  Improvement Of Aerodynamics.
    1 Cl,  5 Dwg",AKTSIONERNOE OBSHCHESTVO VOENNO PROMYSHLENNAYA KORPORATSIYA NAUCHNO PROIZVODSTVENNOE OBEDINENIE MASH,RU2700137C1,2019/9/12 0:00,RU2018133929,2018/9/25 0:00,F42B15/36,F42B15/36
1086,Method For Long-Range Detection Of Aircrafts,"Field :  Military Aircraft Engineering.
    Substance :  Method For Long-Range Detection Of Aircrafts Consists In The Fact That A Combined Flight Of A Combat Aircraft And A Light Unmanned Aircraft With An On-Board Radar Station,  Which Accompanies It Ahead Of The Course,  Is Performed. Unmanned Aerial Vehicle Is Released From Board Of Aircraft Similar To ""Air-To-Air"" Missile At The Distance Necessary For Increasing Range Of Action Of Main Onboard Radar Of Combat Aircraft. Early Detection Of All Threatening Aircraft Is Performed. Unobtrusively Visible Aerial And Ground Combat Means Of Enemy Are Unmasked By Provocation Them To The Ammunition Consumption To Their Own Address. Maneuvering In Order To Escape From Enemy Combat Missiles And Return To Board Its Aircraft On Pursuit Course By Docking Similar To Docking With Refueling Neck Of Refueling Aircraft.
    Effect :  Higher Survivability Of Combat Aircraft Due To Long-Range Detection Of Enemy Weapons.
    1 Cl",MIKHAJLENKO VLADIMIR IVANOVICH,RU2721642C1,2020/5/21 0:00,RU2019134034,2019/10/24 0:00,F41H13/00,F41H13/00
1089,Firing Method Of Guided Missile With Laser Half-Active Homing Head And Device Realizing Thereof,"Field: Weapons.
    Substance: Invention Relates To Guidance Of Artillery Guided Projectiles With A Laser Semi-Active Homing Head (Lsahh), Capturing The Illuminated Target On The Trajectory Final Section, And Is Intended To Control Barrel Artillery Fire Of Calibres 120, 122, 152, 155 Mm During Firing By Controlled Ammunition With Lsahh. Method Of Firing A Guided Projectile With Lsahh Consists In The Fact That The Firing Position Is Topographed To The Area, Calculating And Realizing Firing Settings, Establishing Digital Radio Communication Channel With Firing Position Panel, Establishing A Single Computer Time In Target Designator And Firing Position Panel, Performing Topographic Referencing Of Target Designator To Area, Transmitting Television Image Of Target Area To Fire Position Panel, Detecting Target On Television Image, Changing Target Indicator Into Automatic Tracking Mode Of Target, Performing A Shot After Checking The Target Radiation Reflected From The Target Laser Designator In The Field Of View Of The Guided Projectile Homing Head When It Reaches The Target, Transmitting From The Firing Position Panel To The Target Designator The Time For Switching On The Laser Radiation Of The Target Designator, The Laser Emitter Of The Target Designator When The Required Switching Time Is Reached, Aiming The Aiming Device At The Target Illuminated By Laser Radiation Of The Target Designator. At That, Firing Into The Design Centre Of The Allowable Sector Of Reflection Of The Target Illumination Beam Of The Projectile-Target Designator, Target Designation By The Reconnaissance And Target Designation Module (Rtdm) Is Performed, The Rtdm Self-Destruct Means Are Activated When Falling On The Ground. Shell-Projectile Is Characterized By That Shell Body Used Is Lighting Ammunition Body, And Same Calibre As Projectile With Lsahh, Which Will Be Aimed At Target.
    Effect: Technical Result Is Higher Efficiency Due To Faster Delivery Of Reconnaissance Means And Target Designation To Target Without Using An Unmanned Aerial Vehicle.
    4 Cl, 4 Dwg",FEDERALNOE GOSUDARSTVENNOE KAZENNOE VOENNOE OBRAZOVATELNOE UCHREZHDENIE VYSSHEGO OBRAZOVANIYA MIKHAJ,RU2737634C2,2020/12/3 0:00,RU2019105612,2019/2/27 0:00,F41G7/22,F41G7/22
1090,System For Observation And Counteraction To Unmanned Aerial Vehicles,"Field: Aviation.
    Substance: System For Observation And Counteraction To Drone (Uav) Comprises Ground Control Center (Gcc) Of Air Space, Means Of Detection (Dm) Uav, Means Of Neutralization (Nm) Uav. Gcc Comprises A Control Computer, An Automated Workstation (Aws), Digital Communication Equipment, Remote Control Station. Uav Dm Comprises A Radar Station, An Optical-Electronic System For Detecting And Tracking Uav, A Radio Reconnaissance System. Uav Nm Comprises Uav-Interceptor, Silencer Of Communication Channels, Launcher Of Missiles, Antiaircraft Gun, Laser Installation, Radio-Beam Device.
    Effect: Higher Reliability Of Mass Reflection Of Hyper-Speed, Planning, And Low-Speed Mini- And Microuav.
    13 Cl, 10 Dwg",PUBLICHNOE AKTSIONERNOE OBSHCHESTVO ?NAUCHNO PROIZVODSTVENNOE OBIEEDINENIE ?ALMAZ? IMENI AKADEMIKA A,RU2738508C1,2020/12/14 0:00,RU2020126898,2020/8/11 0:00,F41H13/00,F41H13/00;B64C39/02;F41H11/02;G01S13/00
1101,"Non-Lethal Delivery Canister, Threat Mitigation System, And Methods For Mitigating Bomber And Perpetrator Threats","Embodiments Of A Non-Lethal Delivery Canister, A Bomber/Perpetrator Threat-Mitigation System, And Methods Of Mitigating Bomber And Perpetrator Threats Are Generally Described Herein. In Some Embodiments, The Non-Lethal Delivery Canister May Include A Shell, A Plastic-Fabric Liner Within The Shell To Hold The Shell Together, And An Entrapment Device Within The Liner. The Shell May Be Configured To Break Away And Disintegrate After Launch And Prior To Target Impact To Help Ensure Non-Lethality. In Some Embodiments, The Delivery Canister May Include An Exhaust-Gas Generator (Egg) To Generate A High-Pressure Gas, And An Exhaust-Gas Director Within The Liner To Direct The High-Pressure Gas Generated By The Egg Into The Liner Cause The Entrapment Device To Expel.",Thomas A Olden; Oscar Kenneth Ohanian; Damian C Athey; Robert P Johnson,US8550005B1,2013/10/8 0:00,US13204246,2011/8/5 0:00,F42B12/36,F42B12/36
1216,A Mineral Powder Bomb,"A Mineral Powder Bomb Whose Powder Material Is Composed Of Aluminum Oxide, Silicon Dioxide, And Silicon Carbide. After Being Exploded And Dispersed In The Air, It Can Affect Jet Fighter Engines, Windshield Glass, And Stealth Wave-Absorbing Coatings And Airspeeds Of Aircraft. Damage To The Tube Sensor Can Easily Cause Engine Damage Or Even Parking In The Air. Damage To The Stealth Absorbing Coating Reduces The Stealth Effect, Reduces The Perspective Of The Cockpit Windshield Glass, Blocks The Airspeed Tube, And Reduces The Sensitivity Of The Airspeed Tube Sensor. Its Spreading Methods Are Diversified, And Antiaircraft Artillery, Rockets, Airplanes, And Balloons Can Be Used As Spreading Vehicles.",Zheng Deyong,CN103791783A,2014/5/14 0:00,CN201210429795.9,2012/11/1 0:00,F42B12/72,F42B12/72
1235,Method And Equipment For Calibrating Fighter Weapon System Using Fiber Optic Gyroscope,"The Invention Provides A Method And Equipment For Calibrating A Fighter Weapon System Using An Optical Fiber Gyroscope. The Method And Equipment Include An Azimuth And Posture Determination Device And A Longitudinal Axis Azimuth Determination Device For The Aircraft Body. The Azimuth And Posture Determination Device Includes An Azimuth And Posture Regulator, And The Azimuth And Posture Regulator Is Installed On The Azimuth And Posture Regulator. The Second Fiber Optic Gyroscope Module, The Second Fiber Optic Gyroscope Module Has A Built-In Computer For Analyzing Azimuth Angle Data, The Second Fiber Optic Gyroscope Module Is Equipped With An Electronic Optical Aligner And A Display, And The Integration Calculation Module And The Display Of The Second Fiber Optic Gyroscope Module Pass The Data Transmission Interface Is Connected To The Computer, And The Computer Is Connected To The Integration Calculation Module Of The First Fiber Optic Gyro Module Through The Data Transmission Interface. The Device For Determining The Longitudinal Axis Position Of The Body Can Measure The Current Longitudinal Axis Direction Of The Body And Pass The Crosshairs Displayed In The Eyepiece Of The Leveling Instrument. Indicate The Direction. The Invention Has The Advantages Of Being Able To Effectively Simplify The Steps Of The Fighter Weapon Calibration Process, Improve The Calibration Efficiency, And Not Be Affected By Natural Factors.",Chen Yuanchun; Jiao Fengli; Li Pingjin,CN104089529A,2014/10/8 0:00,CN201410218270.X,2014/5/22 0:00,F41G3/00,F41G3/00; G01C19/02
1236,Method And Equipment For Calibrating Fighter Weapon System Using Fiber Optic Gyroscope,"The Invention Provides A Method And Equipment For Calibrating A Fighter Weapon System Using An Optical Fiber Gyroscope. The Method And Equipment Include An Azimuth And Posture Determination Device And A Longitudinal Axis Azimuth Determination Device For The Aircraft Body. The Azimuth And Posture Determination Device Includes An Azimuth And Posture Regulator, And The Azimuth And Posture Regulator Is Installed On The Azimuth And Posture Regulator. The Second Fiber Optic Gyroscope Module, The Second Fiber Optic Gyroscope Module Has A Built-In Computer For Analyzing Azimuth Angle Data, The Second Fiber Optic Gyroscope Module Is Equipped With An Electronic Optical Aligner And A Display, And The Integration Calculation Module And The Display Of The Second Fiber Optic Gyroscope Module Pass The Data Transmission Interface Is Connected To The Computer, And The Computer Is Connected To The Integration Calculation Module Of The First Fiber Optic Gyro Module Through The Data Transmission Interface. The Device For Determining The Longitudinal Axis Position Of The Body Can Measure The Current Longitudinal Axis Direction Of The Body And Pass The Crosshairs Displayed In The Eyepiece Of The Leveling Instrument. Indicate The Direction. The Invention Has The Advantages Of Being Able To Effectively Simplify The Steps Of The Fighter Weapon Calibration Process, Improve The Calibration Efficiency, And Not Be Affected By Natural Factors.",Chen Yuanchun; Jiao Fengli; Li Pingjin,CN104089529B,2016/3/2 0:00,CN201410218270.X,2014/5/22 0:00,F41G3/00,F41G3/00; G01C19/02
1238,A Reusable Stealth Bombing Missile,"A Reusable Stealth Bombing Missile, Including A Missile Body. The Missile Body Includes A Warhead Part, A Weapon Part, A Body Part And A Propulsion Part. The Warhead Part Is Equipped With A Guidance System, And The Body Part Is A Regular Hexagonal Prism Structure. The Missile Body There Is Also A Layer Of Wave-Absorbing Polymer Composite Material. The Weapon Part Is Equipped With A Magazine That Can Hold Multiple Warheads; The Outer Circumference Of The Body Part Is Equipped With A Wing Assembly. The Wing Assembly Consists Of A Main Wing, A Folding Wing And A Tail Wing. The Missile Body Is Equipped With Wing Recovery Bins On Both Sides Of The Missile Body Symmetrically, And Doors Are Provided On The Wing Recovery Bin; The Bottom Of The Missile Body Is Also Equipped With A Folding Landing Gear, And The Missile Body Is Equipped With A Storage Bin For Accommodating The Folding Landing Gear; The Invention Can Be Reused, Carrying Multiple Warheads To Strike Multiple Targets One By One At A Time, Has Good Stealth, Can Fly To The Target At High Altitude Without Being Detected By Radar, Has High Cruising Speed, And Is Not Easy To Be Intercepted By Fighter Jets.",Henan University of Science and Technology,CN104121827A,2014/10/29 0:00,CN201410308203.7,2014/7/1 0:00,F42B15/00,F42B15/00;F42B12/80;F42B10/14
1239,A Reusable Stealth Bombing Missile,"A Reusable Stealth Bombing Missile, Including A Missile Body. The Missile Body Includes A Warhead Part, A Weapon Part, A Body Part And A Propulsion Part. The Warhead Part Is Equipped With A Guidance System, And The Body Part Is A Regular Hexagonal Prism Structure. The Missile Body There Is Also A Layer Of Wave-Absorbing Polymer Composite Material. The Weapon Part Is Equipped With A Magazine That Can Hold Multiple Warheads; The Outer Circumference Of The Body Part Is Equipped With A Wing Assembly. The Wing Assembly Consists Of A Main Wing, A Folding Wing And A Tail Wing. The Missile Body Is Equipped With Wing Recovery Bins On Both Sides Of The Missile Body Symmetrically, And Doors Are Provided On The Wing Recovery Bin; The Bottom Of The Missile Body Is Also Equipped With A Folding Landing Gear, And The Missile Body Is Equipped With A Storage Bin For Accommodating The Folding Landing Gear; The Invention Can Be Reused, Carrying Multiple Warheads To Strike Multiple Targets One By One At A Time, Has Good Stealth, Can Fly To The Target At High Altitude Without Being Detected By Radar, Has High Cruising Speed, And Is Not Easy To Be Intercepted By Fighter Jets.",Henan University of Science and Technology,CN104121827B,2016/8/17 0:00,CN201410308203.7,2014/7/1 0:00,F42B15/00,F42B15/00;F42B12/80;F42B10/14
